review,class
"We can't say enough good things about this place. The owner and wait staff were genuinely friendly and the food was great. I had the veal caprese and my wife had the canolone.  Both were exceptional and reasonably priced.  Unlike the chain Italian restaurants, the portions were reasonable instead of super-sized.  We were full but not stuffed when we finished.  We also brought our fourteen month old along.  They don't have a kids menu, so I can't call the restaurant ""family friendly,"" but everyone was really friendly to our family. The owner even stopped by once or twice to pinch our son's cheeks.  We live near by and are considering becoming regulars here.
",1
"My husband and I want to give six stars!!!!  We've driven by this place for a year, and always talked about going in....SO sorry we waited so long!!!  Very pretty little place.  The service was great and very warm.  I had the butternut squash ravioli and in was in heaven for every single bite!!!  We will be back often and plan to take my daughter next time.  I don't think they have a kid's menu, but our server said they could do spaghetti and meatballs or fettucine with chicken.  Perfect.  Thank you Jennifer!!!  We loved it!!!  =)
",1
"I'm still laughing reading poor Maribeth's review below; I think maybe her ex DID pay someone to play an awful joke on her.  Like drugging her and taking her to Wendy's and telling her she was at Salute.  This place is the best little neighborhood secret ever and I only hope everyone reads and believes Maribeth's review so I can still get a table on Friday nights without making a reservation.
",1
"My husband and I have been here several times, both for large functions and on our own.  What we always notice is how attentive the wait staff is.  And they really seem to care about our dining experience.  Of the appetizers, we love the antipasto, stuff mushrooms and seafood salad.  The butternut squash ravioli is awesome, as is everything we've tried.  The strip mall location isn't particularly appealing, but the good food and excellent service will keep us coming back.
",1
"Very, very good. Top notch calamari and scampi appetizers. Excellent garlic bread.Entrees were eggplant parm- great; lasagna- excellent; orange roughy with capers and artichokes-amazing and cheese tortellini with 4 cheese sauce- also great.Perfect service- a really on the ball waiter. Close to Hilton Tapatio  Cliffs too.Cozy place, nicely lit made you forget about the strip mall locale.
",1
"Saturday night at Salutes is a real treat.  The live jazz duo sings quietly and adds to the ambience of this local gem.  The staff is always friendly and makes some reference to your last trip which makes you feel special.  And speaking of special...their chicken florentine special was mouth-watering.  I'm sure the bottle of Chianti helped...but just LOVED the experience.
",1
"Went with family last night...loved it! Our server, Julie, was excellent- extremely friendly and attentive to our table. The stuffed mushroom and shrimp scampi appetizers were delicious...excellent for dipping the really good garlic bread in the sauces. :) My daughter said that the fettuccine alfredo (not on the menu, but offered) was the best she's ever tasted. The butternut squash ravioli was very rich (almost too rich) but quite tasty. The guys both got the crab and shrimp stuffed ravioli with walnut cream sauce (not on the regular menu)- both loved it!  It's a really great place for a special date or a quaint dinner with friends.
",1
"I've been waiting to change from four stars to five and tonights dining experience did it.  The staff always makes us feel like one of their family and tonight was no different.  My eggplant parmesan was mouth-watering accompanied with their house Chianti.  Friday night live jazz always a pleasure.  Thanks, Julie, for noticing my hair...yours was adorable as well!  BTW...the place was packed...you may need a reservation!
",1
"WARD is the best bartender. I hope that when I grow up one day I can be JUST like him. When he tells stories, they're so amazing, you'll want to hear them twice ;)
",1
"Love this bar! GREAT affordable food! Awesome gambling promotions! Free Slot Tournament on Sat night at 7! Bartenders are the best!
",1
"Irene's was my favorite spot to drink whilst on vacation. We ordered a pizza and I don't remember what my bf ordered, a burger, I think Our pizza was really good. I think it had jalepenos and sausage. And maybe extra cheese It was like $7. Had two drinks while we sat and enjoyed the company. The bartender was so sweet and friendly. They have a daily contest where you can win cash money if you come a few days a month and gamble there. It wouldn't work if you don't live there so I tuned out on the details. I don't know why we even bother with the strip. Get off the strip, people. See the real Vegas. Leftovers were yummy the next morning, cold or warmed. It's a dive but a good one.
",1
"When I lived in Vegas I was right behind the place. I was coming home from a mid week bender in the strip. Didn't feel like going home and I was all jacked up on vodkared bull and hungry. I stopped in here cuz I hadn't checked it out. Met someone right away from the Chicago burbs. Bartender was a cool guy. Had a pizza and I'm from Chicago so I'm a pizza snob. I was kinda drunk but that fawker tasted great. Had a beer or two then stumbled home and passed out.
",1
"I take clients to clubs for lunch when I am in Charlotte on business. I travel all over and was not expecting much in Charlotte. I had gone to one uptown club a few times and it was nice.  I went to a Friday lunch special at The Men's Club from a hotel referral. It is remarkably nice inside, good staff, good music and a better menu than the hotel I was staying in. It was something I would have expected in Las Vegas, not Charlotte. I will go back every time I am in town.
",1
"This is by far the best strip club in Charlotte. I come here on Wednesdays for the lunch buffet during the day which is always a steal for 10$ all you can eat plus admission into the club. Otherwise I usually come on Friday or Saturday night when its packed with girls. The seating is comfortable and 1 large stage and three mini side stages. Girls are friendly and most are above a 7. Dances are 20$ and worth every penny. My favorite there is Bianca who is amazing in VIP.
",1
"Love the place, very friendly staff and definitely the hottest girls in town. Nonpushy girls which is a big plus. Very classy and clean, definitely not your typical strip club. The food is very good and reasonably priced. Check it out, you won't be sorry!!
",1
"Not only does this club have gorgeous entertainers, on point service from bartenders and waitresses, and an upscale environment, but the food is absolutely AMAZING!  They just added a ton of new items to their menu.  I highly recommended the Bison Cheddar Meatloaf and the Bone in Pork Chop topped with crawfish.  They have some great specialty cocktails with catchy names like the Wet Panty and Carmel Apple Tittay.This is not your typical strip club.  Everyone here is very polite (you won't get hounded for a dance the second you sit down).  The environment is very nice, classy, and CLEAN.  Their VIP area upstairs is top notch and always a great time.  Make sure to check out the bar at the top of the stairs, which IS open to the public.  The view from upstairs is awesome because you can see the whole club.Their breakfast buffet is also a great end to a Friday or Saturday night, so check it out 2am to 3:30am on those days.
",1
"Great food and atmosphere.  Very upscale and friendly.  Favorite is the kick-ass filet for dinner.  Great lunch specials too.
",1
"This is by far the nicest place in Charlotte to go as far as a men's club. They have a nice breakfast which is actually pretty good after 2 a.m. The girls for the majority are good looking. The ambiance is very nice and the complimentary valet is nice! I def recommend this place.
",1
"Brought a group of my good friends over for a bachelorette party and we had an amazing time! The bartender Leah was on point all night and kept us having an amazing time! Will DEFINATELY be bak a lot more! Thank you!DJ EVO
",1
"I came to The Men's Club of Charlotte with DJ Evo and some friends. We had a great time. Leah was our Bartender. She was excellent and helpful with recommending some great drinks. Had a great time.
",1
"INDOOR SMOKING (when I'm looking for it) IS TOTALLY AWESOME!We came in here one night after an already long night of drinking.  The place was quiet, but the bar was incredibly well stocked, they allowed indoor smoking, and sold a range of cigars.  What's not to love, rightWe closed the place down... at some point, we ordered a delivery pizza.  The bartender was a ton of fun, told great stories, fed the jukebox with great songs (and let us pick about half of them) and really kept us going.  The prices were really reasonable on drinks, and we all had (too much of) a good time.  Several TVs had football on (without sound) and the bathroom was extremely clean.  Really, what more do you need in a barIf I had to critique one thing, though, it would be the cigar brands.  I think I only noticed one or two, but none of them were names I recognized.
",1
"Oooooo....under new management! Humidors are fully stocked, drinks are delicious, and there is regular music. The new owners are wonderfully gracious hosts, and each time I go I meet a new friend. Best newold Fitchburg hangout!
",1
"They hired a new bartender. It was his first night on Sat. If I remember correctly I think his name is David. Gosh, I'm probably totally wrong though.Anyway, he's tended at a couple different places. He made 1 damn good Jamaican 10 Speed. I dislike Malibu so I asked for Parrot Bay. Delicious. I hope he sticks around for a while.There was a late last call on Sat too. They were still serving right up till 2. They pretty much called last call at 1:50. So I think we got out of there around 2:15.Oh, & I finally spotted the juke box. I've walked right past it quite a few times. I think when I look around for the juke box I picture the ones from the 50-70's or so. I'm looking for big, tall, brightly lit, & maybe orange or yellow colored. I'm so spastic sometimes lolRestroom light was on again too :)Come any day of the week. It's always fun here.
",1
"try the wings, ask for honey bbq! they are the best
",1
"Very cool divey casinobar with some of the friendliest people in vegas working there.  Been coming here for years and I never get tired of it.  You get mardi gras beads as you walk in and immediately after someone is there to get you a drink.  A couple of minutes later you are gaming, drinking and having a great time, and occasionally you really do win money and I mean real money, no tickets here so don't put a hundred in and then try to cash out, you'll be so loaded down with nickels and quarters you won't be able to walk.The drinks are strong, the slots are decently loose and the manager Barbara and the cashier Mary Ellen are so cool, make you feel so welcome.  The Russian cocktail waitress is really nice too and trust me, she'll be back to check on your drink before you can sip down the one you have.This is one thing I miss about Vegas, the free drinks to keep you there.  Most places don't give them away unless you're at a $1 machine and even then not usually.  So, La Bayou has my business two times a year, every year.  Keep up the good work everyone at La Bayou!
",1
"ELVIS!!! well the slot machines. i love this place. their machines pay out coins. you can put coins in them as well. i love the sound of cashing out and hearing the coins. they have raffles every half hour.i always have a great time here.
",1
"I'm giving this place 5 stars because I've got a long story behind it.  To make it short, the yard long frozen drinks with the extra shot for a dollar caused me to get married on the fly. And actually the second one I had a WELL-POURED extra shot of Bacardi 151, almost filled up the entire bowl in the bottom of the yard long!!  The county almost wouldn't give us a marriage license!!  But that was nearly 7 years ago, and eveyrthing has worked out really well.  I do remember the place being very fun and crazy for a ""shotgun"" dive casino.  We'll go back next time we're in Vegas, not only for the memories, but alos because it was just plain fun here.
",1
"We absolutely love this place! This has become our ""meetup"" spot downtown. It's a fun little dive. They give out beads and have raffles. They sell cool beads in the back and make awesome HUGE drinks in yards and footballs. They also have some old slots that you can't find very often, and the slots are fairly loose. We always win a bit of cash there. A small downside is that the slots are old school without tickets. They drop a ton of nickels if you win. It's minor though and actually kind of fun.It's not fancy, it's just fun! Go!!!
",1
"I love this place. The machines are fun and the coin aspect is a nice perk. The cocktail server is AWESOME! They are super quick and attentive! I always tip them well. You should too! You won't regret it!
",1
"Most fun on Fremont! I've had the best luck with pay out at these machines, the wait staff is usually great and you never have an empty or even near empty drink! The frozen drinks are fantastic and usually whoever is working back there knows their mixes and always creates something you'll enjoy! HIGHLY RECOMMEND!
",1
"FANTASTIC. Does not pretend to be anything more than what it is. The back bar is where its at, huge strong drink for 16 dollars, with a shot of ever clear for an extra 3. Worked like a charm. And they pay in coins! Brilliant
",1
"We came to town on Valentine's Day to celebrate my youngest son's 21st b-day (yes, it's on V-Day).  Sadly, the drive from L.A. was more hellish than usual and we got to our condo so late that we skipped out on driving to Fremont.  (however, we did find Ellis Island nearby and enjoyed that for what it is! see my review)I really wanted to make sure my sons went down to Fremont where I knew we'd end up in Bayou so we came Sunday after breakfast (Omelette House- divine!) .  I've been here before (of course, back in 2001 I think the daiquiris were about 13 the price!).  I really don't enjoy gambling, but I do like to sit at a REAL coin-op slot machine and pull the arm of the one-armed bandit with my own hand.  There is something very satisfying about plunking coins in and hearing your winnings clink into the tray.  A classic Vegas experience that is hard to come-by today. I truly hope they NEVER get rid of those machines!  It's a friendly place and a must-visit stop on Fremont.  We had a blast and were only sorry that we couldn't come at night and get they whole ""Experience!""   We will be back!*note to self:  The drinks are stronger than they look.  We got the hurricane, white Russian, and mud slide flavors and enjoyed them all.  I think I liked my son's white Russian best because it tasted like vanilla ice cream.  YUM!
",1
"It's still as divey as ever here at La Bayou Casino.  It's run down, cramped and there's dusty stuff all over the walls and ceilings.  God knows I love this place!  It's one of the coolest places in downtown Vegas and they always get my business.From the time you walk in the door and get your beads and raffle ticket till the time you leave, it's non-stop free drinks, cool employees and loose slots.You know how most casinos only offer you free drinks when you are playing the $1 slots or better.  Not here!  I walked up, got some Mardi Gras beads and before I could sit down they asked me what I wanted to drink.  I hadn't gotten half way done and she are offering me another drink.  These ladies usually come by about once every 10 minutes so drink fast and get your moneys worth.  By the way, these aren't pussy drinks either - you can taste the alcohol.Their slot machines are usually pretty loose (not this time but usually).  The machines are retro coin payers so don't be looking for slots with tie ins to the latest movies or TV shows and be sure to have a cup or two handy for your big win.Like I said before, I'm still loving Barbara (manager) and Mary Ellen (cashier).  They are part of the experience and if they ever leave, the place just won't be the same.Man I want to go back there right now.
",1
"If you are in Vegas, YOU MUST COME HERE!!!!This was one of the highlights of my recent trip to Vegas. La Bayou offers REAL nickel slots, frozen daiquiris, FREE drinks (if you are gambling, but it's nickel slots), and a dive-bar atmosphere. Upon arriving you are greeted by two ladies dresses in traditional vegas show girl feathers who hand out beads to customers. The beads really add to the kitsch environment of Fremont Street and La Bayou. You are also handed a lottery ticket to enter to win up to $10,000, which was another source of free entertainment. The machines themselves work very well and it was so much fun playing actual coins and seeing them clink into the coin return tray. The waitresses were very attentive and friendly( Remember to TIP). I never had to worry about asking for another drink and the drinks were STRONG. La Bayou is a great time for the non-serious gambler who wants to enjoy their time in Vegas with cheesy promotions, strong drinks and a taste of whats left of old school Vegas. It's just a good time all around!
",1
"Not bad food, but this place isn't really a ""restaurant"" as much as it is one of the best drinking holes in Las Vegas, with a slick interior done up with tasteful neon and big televisions, a square bar, and one of the sexiest staffs in town. Food is pretty good too, but excessive drinking may give a slanted opinion on that one.
",1
"I really expected this place to be a disgusting, grimy, dive. I was shocked to discover a clean, comfortable, and beautifully decorated bar and restaurant. We ordered the gyro sliders, feta fries, and artichoke dip; all were delicious! Beers were only $4, which is an amazing deal in this town! We signed up for the Ladies' Club and saved 25% on our bill. This place could easily become my new favorite bar.
",1
"We were looking for a place to watch the Superbowl in Vegas and lucked into this gem. There was no cover charge and we had the best seat in the house. Service was excellent. Our waitress was Brittany and she was so on top of it. The food is very good too. Had the pizza and wing special, tasty and very inexpensive. Also had buckets of beer. Would definitely come again.
",1
"Love this place!  If you are looking for a good bar, pretty ladies and great food.  You have found it.  We reserved a couch for the SB this year and the service was over the top.  My drink was never dry and the food was perfect. The servers were delightful, engaging and wore revealing but not too revealing outfits.I know it may look sketchy from the outside, but highly recommended.
",1
"This is my local hang out when I come through Vegas.Great food, great staff, good drink prices, and the staff is awesome!Trish is Great!
",1
"Looks crapy outside, but this place rocks!!!   Killer food and a very nice staff.  EAT THERE!!!  Asian Ahi salad!!!!   The bomb!!!
",1
"When you come to Vegas and you want REALLY, REALLY expensive vodka you will end up here unless you were completely mis-informed. If you really want to impress the vodka-lover you brought along then you better come here. Also, its in the Mandalay Hotel and Casino which is one of the better places to rest your feet in Las Vegas.
",1
"One word: Chernobyl .  Start your night with this cocktail.  Whether you have to beg, borrow or video poker your way to the bargain $12 that this thing costs...DO IT.  If you like vodka (in my case LOVE vodka), or even if you don't, this is the cocktail to end all cocktails. It's got something close to 5 shots in it plus a float of stoli elite (5 different kinds of vodka).  But it gets better...the drink doesn't taste like vodka.  It tastes like a delectable cranberrylimefizzy thing that won't give you so much as a buzz.  It comes with a mutant-looking candie cinnimon stick that's a great touch.  Well worth it.  It's a vegas must-have.  Other than the drink, the bar is nifty- great decor (former USSR, the out-front statues head inside the frezzer, and bartops of ice).  Food is great but EXPENSIVE. The other drinks are great too...and I think they're fairly priced for the selection of vodkas, strength of drink and originality.
",1
"My friends and I had a real good time here. If you like expensive vodka, then this is your place. But to attain the ultimate experience is to purchase a bottle of vodka and drink it in the vodka freezer.  You get to put on Russain types of winter coats and drink off of a bar made of ice. Dean Cain and the guy that owns the Ivanko barbellcompany have a vodka locker there.  The manager of the place is so cool that in addition to the bottle that my friends and I had, he also let us taste other vodkas that they had available.   I was in pure vodka heaven.
",1
"Vodka is definitely the star here! Every martini I have tried here is fabulous!  We went once when it wasn't particularly crowded at the ice bar and our bartender put on a great show of serving our martinis even though we had all ordered something different.
",1
"
",1
"Not to be outdone is the food. Their lobster salad is definitely one of my favorites on the menu!  A little pricey Perhaps! But well worth it!
",1
"I think everybody looks good in a red room, so fun fugly folk like to hang here.  And I'm OK with that.Don't bother coming here to dine (honestly, I don't know why they even bother), but do come to swill.  Lots and lots of tasty boozy concoctions (it certainly helps that I looooove vodka) to enjoy.  And an ICE bar.  Imagine a drunken striptease on that  Super sexy one moment, catastrophic the next.
",1
"Mandana K, Dave H and myself wandered around Mandalay looking for any bar to be open at 3:30 in the afternoon.  We stumbled upon a statute of a beheaded Lenin, signaling the entrance to the Red Square, which didn't open until 4 PM.  Once 4 arrived, we were the first to walk into the bar that day, taking seats at the bar, which is made out of ice.  Since this is a Russian-themed bar, they stock a wide assortment of vodkas.  On their menu, they had pages and pages of specialty vodka drinks.  We decided to each order different drinks so that we could sample each others.  Since there were only a few other patrons, we learned about the history of the place.  When the bar first opened, the bar generated a lot of controversy with the Russian community because of the statute of Lenin -- head attached -- and the perceived romantacizing of Communism.  The bar caved -- or maybe it was really a great publicity ploy -- and decided to behead Lenin in a public ceremony.  The head now resides inside a block of ice in the vodka locker, a walk-in, sub-zero freezer that stores premium vodka for their clients; it's so cold that before you enter, you need to don a thick, russian like fur coat and hat.  We toured the locker, knocked back a shot of vodka, and read the names of those who rented shelf space inside the locker.  For several thousand dollars a year, one can rent a space, store any vodka you please, have a name plate, and enter the locker any time you please.  Not a bad deal if split among the three of usWe continued to order drinks off the menu until we knocked back every single drink on the menu.  We looked around.  Just as we entered the bar as their first patrons, we exited as their last.  It was 4 AM.
",1
"MMMM From Russia with Love-The Ice bar is beautiful and the friendly and knowledgeable waitstaff will help you negotiate through the endless varieties of .... uh  .... wait..... oh yeah... vodka.  I recommend getting some flights and splitting them with friends. Vodka has as many genres as wine and each is a brilliant ice cold experience.   Gotta love those Ruskies!I also have to admit that they have a beautiful logo and the T-shirt is top notch.
",1
"A honest to gawd Vodka bar with an bar made of ice and Lenin's head in the top shelf  How can this place be less than 6 stars!I love going to Vegas, if nothing than getting blind drunk on potato booze.  The place is always packed and the staff is fast, and drinks are the stuff legendary nights start with a liberal dose of.  I would not live in Vegas, simply because of this place.  I'd never...ever...leave.
",1
"Mmm, tasty. Easily some of the best mixed drinks that I've ever had the pleasure of downing.I started off with a chocolate martini from the dessert menu, since their kitchen was closed and I still needed something sweet to finish off dinner. It was smooth without being overly cloying or creamy. Very drinkable and deliciously chocolatey. They even floated a white chocolate red square in the drink. Nice touch. I'm a lightweight, so that one martini was enough for me, but I did get to try some of my friends' drinks. The Chernobyl will knock you on your butt if you aren't careful, but it tastes like a yummy, barely alcoholic, fruit drink. You won't know what hit you until it's too late. They also have an outstanding black cherry vodkapinot noir martini that is really unique. I can't remember the name of it, but it's worth scouring the menu for. The decor is elegant but cheesy, and the booths are the best spot to sit and people watch. We were there from about 1:30am-2:30am on a Friday night and it was easy to grab some good seats and it was easy to chat without having to shout.
",1
"I love this swanky joint..  If you are a vodka connoisseur andor like to try new or rare vodkas you will be in heaven.  Its a vodka bar in Mandalay Bay with so many brands and styles of vodka to choose from your head will be spinning.  I'm a Gibson fan (vodka martini w onion) so I asked the bartender what brand he recommended for a his favorite vodka martini served up..  I was introduced to Zyr (still not available in California) and this has since been my favorite brand.. Its filtered 9 times and distilled 5 times and it is smooth as water.  You can find distributors selling this on the internet - I've been getting it shipped to my house ever since my last Vegas trip..  :)  I'm heading out there again this weekend and will definitely make a stop into this place.  Food and apps are tasty, nice presentation, pricey (then again everything in vegas is a bit pricey)..decor is very cool with an overwhelming ""red"" theme and the top of the bar is actually made out of 1 huge ice block.  So if you set a drink on it it'll frost up and stay cold.  They have quite an extensive original martini list, most of them fruity.  They allow you to head back into the walk-in freezer with a fur coat if you are into that.  Overall great spot!  Love hitting this place up in the early evening..
",1
"I know Playboy Club has it's own reviews. Moon I also went to for a play date. Coming upstairs to walk into the medley of lights and fiber optics was simply amazing. It was more of an upscale version of Rain. It has a beautiful view of the Vegas Skyline. What got to me was the floors being lit up. The tables are metal with a mirrored finish. It kinda made me feel like a pervert watching girls dance on it...BUT WHO CARES! The dance floor is huge and the patio area is just amazing. Moon's roof has a huge video screen kinda like the Fremont St Experience but this roof is supposed to retract. That night it didn't due to the slight sprinkling. Moon also has a second floor with another bar and another patio access. I had a great time there. But this is one of those places you probably want to get a table for. Music was great - laser and light show was pretty off the hook. Sound system very LOUD. What more can you expect from a monster club
",1
"This is a bonifide Vegas club!  Moon is located at the top of one of the Palms towers so the views are spectacular from the balcony to the restroom.  Yes, there's a floor-to-ceiling glass in the men's room.  And a urinal right next to it that makes it the one of the most breathtaking p!$$ spots in the world.  The club is also connected to the high-roller Playboy casino lounge where you can celebrity hunt.  The drinks are as stiff as the prices so bring lots of cash and drink heavily before you arrive.  The security staff was very courteous and helpful.Just be sure you arrive early, as in right after dinner, otherwise, you'll be spending a lot of time in line downstairs and you might not get in at all.  Once you're in, you're in.  Vegas Style, Baby!
",1
"Fabulous club.I loved my night at Moon.We did bottle serviceVIP here and it was well worth the cost.  Well, okay - so we did bottle service for the boys, and for the girls - we got ourselves in but it took all of 15 seconds.   The management, bouncers and serversbusboys were all FABULOUS.  EXCELLENT service all around, I'd give it 10 stars if i could.   Every single person working at Moon that I had to deal with or talk to on this night was nothing short of stellar, and the treatment they gave us was  first-class all around.  The way they had us enter was straight through the Playboy Lounge, and what I saw of that place, I was not impressed.  Head up the escalators to Moon and then voila - - - your night begins and all of Moon is conducive to having a good time.  We ended up getting a table in a separate VIP lounge area, a good distance away from the dancefloor which made it possible to talk as well as drink in private.  There are booths everywhere - and all of  them were nicely set up and comfortable, well-placed, etc.  But I never like sitting too close to the dancefloor where people are falling into your table, or you can't even hear yourself think, so this was perfect.  When you opt for bottle service at Moon, the service leaves you wanting for nothing, nothing at all!  To make a reservation, there is a form to fill out and you do have to hold with your CC unless they know you.  It was relatively easy, and even those in our party who were late got in without a glitch just by mentioning the name under which I'd made reservations.  Very smooth process.Great music, great crowd, and a gorgeous club, to boot.  The patio area outside was fabulous - - view of the whole city, and lots of perfect photo opps out there.  Take a drink outside and get your groove going, come inside and dance the night away.  I would not have minded having a table outside reserved, and might do that the next time I am in Vegas.Three bottles later - - we were all nicely toasted, and I think everyone could agree that it was a great time.  FYI:  Don't pass out.  If you pass out cold in a drunken stupor - they will ask that you be escorted out.  One of my friends had just this happen to him, and when I came back from dancing - - he was gone.  Hahahaha....I'd go back to Moon at any time without any hesitation.  GREAT club, and perhaps one of the best in Vegas at this time.  GO GO GO!!
",1
"Awesome club.  Loved it absolutely loved it.  Maybe it was the fact that the bachelorette party I was in tacked on to a really cute set of bachelors at a bachelor party there and had a bottle service and therefore a table and therefore a place to sit but this club was great.  Fabulous music and a great dance floor.  The gogo dancers were awesome (not like some places where you look at the gogo dancer go and you cannot help but think to yourself .. hey I could do a better job)  and the bar tenders were seriously on top of there stuff.  Fabulous.  Great people at this place and girls... the best thing.. the line at the bathroom moved quickly and there was practically no wait.  fantastic.  Oh and another thing for all of you out there.  I totally danced to my hearts content and talked to fantastically cute boys.  (for those who might be getting worried that I was never going to find a date.. yet.. Vegas might not count but still.. I had a great time)...  The Grey goose apple martini was to die for and figi water was what you could buy at the bar.  Check it out for sure if you can.
",1
"This club was great, so great in fact that I danced so much I thought my feet were going to have to be amputated. The music was fantastic. We were put on some kind of list and immediately sent to the front of the line to be escorted right in. Not sure how that happened but given the line we by-passed, thank you. Plus someone gave us a drink while we waited for the elevator, thank you.
",1
"It's places like these that makes me proud to be from here.  On a visit to my hometown, I stepped into this place via my peoples people.  They had nice bouncers, wonderful bartenders, fucking the best music I've ever heard at a clubraveloungestore ever, and laxed security.  They even let the girls rotate and go up and dance next to their residential dancers.  Their residential dancers were also better than those at other clubs like PURE.  This venue is definitely smaller than Rain and lacks the pyrotechnic capabilities, but it has a great view of the strip.  Once you get in, you can also visit the Playboy Lounge.  It is a great visit as well.  As always, make sure you are looking fierce to go.  =)  I will definitely come back the next time I'm in town... Sept  If you have no hookups, just get there early... 10:30 when they open.
",1
"Went on a Sunday night a few weeks ago and thought it was great! Great mix of hip-hop, top 40, rock n roll etc. Impressive sound system on the outdoor deck. Spacious dancefloor that opens up to the night sky. Great views. Not sure how it would be to reserve a table, but the booths seem like they could hold up to 10 or more guests.
",1
"I'm not really a big club guy, maybe it's because I'm not a player (or is it playa  I can never keep track of what the kids say these days)  I hate lines, I hate cover charges, and I hate $12 drinks that should be $6. On this night I didn't have to worry about these things thanks to a friend of a friend of a friend who got us in without waiting and without a cover (we were more than happy to give him a nice tip though)  So we walk past the line and I'm feeling like Wayne and Garth holding up their backstage passes in Wayne's World.We get up to Moon and I'm thinking ""Maybe I should change my whole anti-club attitude!"" This place was great - awesome music, some outdoor space with amazing views of Vegas and one floor down, the Playboy Club - a casino that features Playboy bunnies as dealers.  Did I mention that I'm also not much of a gambler  I'm thinking that might be changing as well...
",1
"Moon is one of my favorite Vegas Clubs.  The vibe and people are great, the views from upstairs on the deck is spectacular, and you've gotta love a place with a retractable roof over the dance floor.  Have not done bottle service, but really no need; very easy to navigate even when we went on a busy Saturday.   Check this place out, you will not be disappointed.
",1
"Loved Moon! The music was awesome and the crowd was great too. I went with like 14 of my friends and had a blast! We didn't have bottle service but the bouncer was nice enough to let us use an unreserved bottle service area. The only part that got me mad was the leaving part. You know how some clubs you have to try really hard to get IN Well we practically had to beg them to let us leave! They use an elevator and theres like a hundred people going up and down! It's really annoying but still loved it!
",1
"When damaging your liver it's best to use only the freshest and best quality ingredients and if you want to do some serious damage then you should definitely check out Mardi Gras.  They freshly squeeze the oranges and grapefruits in front of you for your Screwdrivers and Greyhounds so you don't have to worry about nasty impurities from the fruit juice ruining your cocktail.  Why make your liver work harder than it already has to.
",1
